System,Type,Target_cm^-1,Pair_Density,Min_Distance
N I (NIST),atomic,2.035175879396985,0.0001143905677756923,0.032175879400011986
N I (NIST),atomic,2.0603015075376887,0.00011775590376620319,0.04469849245823676
N I (NIST),atomic,2.085427135678392,0.00012338968581273295,0.019572864317533245
N I (NIST),atomic,2.1105527638190957,0.00013090892755819358,0.00555276382317027
N I (NIST),atomic,2.1356783919597992,0.00013957429738696645,0.030678391963873786
N I (NIST),atomic,2.1608040201005028,0.00014847913554398253,0.01919597990706423
N I (NIST),atomic,2.1859296482412063,0.00015681881711220765,0.004070351761122026
N I (NIST),atomic,2.21105527638191,0.00016412690966414938,0.008944723619254358
N I (NIST),atomic,2.2361809045226133,0.00017036053099640352,0.016180904521449158
N I (NIST),atomic,2.261306532663317,0.0001757828205880475,0.03869346733959356
N I (NIST),atomic,2.2864321608040203,0.000180694680712622,0.013567839198890042
N I (NIST),atomic,2.311557788944724,0.00018515302022449826,0.008442211062261062
N I (NIST),atomic,2.3366834170854274,0.00018882839833829528,0.016683417078442453
N I (NIST),atomic,2.361809045226131,0.0001910887393209781,0.008190954783764415
N I (NIST),atomic,2.3869346733668344,0.00019128009676318026,0.013065326627344831
N I (NIST),atomic,2.412060301507538,0.00018906940317509074,0.0020603015040454586
N I (NIST),atomic,2.4371859296482414,0.00018467250130703393,0.02281407035816141
N I (NIST),atomic,2.462311557788945,0.00017883695636133605,0.0023115577825421063
N I (NIST),atomic,2.4874371859296485,0.0001725641203063731,0.006437185929881295
N I (NIST),atomic,2.512562814070352,0.0001666850663603627,0.03156281407058481
N I (NIST),atomic,2.5376884422110555,0.00016148611934678164,0.056688442211288326
N I (NIST),atomic,2.562814070351759,0.00015656794856446288,0.037185929654061756
N I (NIST),atomic,2.5879396984924625,0.00015101848506904453,0.01206030151335824
N I (NIST),atomic,2.613065326633166,0.00014383324991973676,0.0030653266325839645
N I (NIST),atomic,2.6381909547738696,0.0001344005318185636,0.01819095477852617
N I (NIST),atomic,2.663316582914573,0.00012284145291197775,0.026683417087755235
N I (NIST),atomic,2.6884422110552766,0.00011006675259285234,0.0015577889470517192
N I (NIST),atomic,2.71356783919598,9.75415466731711e-05,0.023567839193651796
N I (NIST),atomic,2.7386934673366836,8.686920074993856e-05,0.04869346733435531
N I (NIST),atomic,2.763819095477387,7.9361546423372e-05,0.07381909547505883
N I (NIST),atomic,2.7889447236180906,7.573984700771202e-05,0.057055276372363295
N I (NIST),atomic,2.814070351758794,7.603411522166948e-05,0.03192964823165978
N I (NIST),atomic,2.8391959798994977,7.966304367777183e-05,0.006804020090956264
N I (NIST),atomic,2.864321608040201,8.562336754619986e-05,0.01832160804974725
N I (NIST),atomic,2.8894472361809047,9.271271392393195e-05,0.010552763813274524
N I (NIST),atomic,2.9145728643216082,9.9741776032049e-05,0.014572864327428992
N I (NIST),atomic,2.9396984924623117,0.00010572840772007605,0.03969849246813251
N I (NIST),atomic,2.9648241206030153,0.00011007740252737974,0.031175879396169837
N I (NIST),atomic,2.9899497487437188,0.00011272693491393555,0.006050251255466321
N I (NIST),atomic,3.0150753768844223,0.00011420739653624106,0.015075376884422287
N I (NIST),atomic,3.040201005025126,0.00011554790945688263,0.0402010050251258
N I (NIST),atomic,3.0653266331658293,0.00011800468288288178,0.06532663316582932
N I (NIST),atomic,3.090452261306533,0.0001226634002087844,0.0535477386937
N I (NIST),atomic,3.1155778894472363,0.00013004266416917221,0.028422110552996482
N I (NIST),atomic,3.14070351758794,0.00013984964714868883,0.003296482412292967
N I (NIST),atomic,3.1658291457286434,0.0001509913627318281,0.02182914572841055
N I (NIST),atomic,3.190954773869347,0.0001618446446160387,0.0030452261337963193
N I (NIST),atomic,3.2160804020100504,0.00017068307550834077,0.016080402012960793
N I (NIST),atomic,3.241206030150754,0.00017609975246524868,0.008793969849246075
N I (NIST),atomic,3.2663316582914574,0.00017727766669664382,0.00633165829669613
N I (NIST),atomic,3.291457286432161,0.00017403647943119724,0.01454271356469583
N I (NIST),atomic,3.3165829145728645,0.00016668722094718578,0.010582914576007685
N I (NIST),atomic,3.341708542713568,0.00015580443496946304,0.0357085427167112
N I (NIST),atomic,3.3668341708542715,0.0001420409158122486,0.013165829150385111
N I (NIST),atomic,3.391959798994975,0.00012605947106253884,0.008040201013756132
N I (NIST),atomic,3.4170854271356785,0.0001085723228721309,0.007085427132186073
N I (NIST),atomic,3.442211055276382,9.04129936934418e-05,0.03221105527288959
N I (NIST),atomic,3.4673366834170856,7.255482696091339e-05,0.057336683413593104
N I (NIST),atomic,3.492462311557789,5.603446210658123e-05,0.08246231155429662
N I (NIST),atomic,3.5175879396984926,4.180306057395741e-05,0.10758793969500013
N I (NIST),atomic,3.542713567839196,3.057025585759175e-05,0.13271356783570365
N I (NIST),atomic,3.5678391959798996,2.270416691962074e-05,0.15783919597640717
N I (NIST),atomic,3.592964824120603,1.8215592268044393e-05,0.16303517588789518
N I (NIST),atomic,3.6180904522613067,1.6814592368712427e-05,0.13790954774719166
N I (NIST),atomic,3.64321608040201,1.8007112596605795e-05,0.11278391960648815
N I (NIST),atomic,3.6683417085427137,2.1202061445711842e-05,0.08765829146578463
N I (NIST),atomic,3.693467336683417,2.5811782740286613e-05,0.06253266332508112
N I (NIST),atomic,3.7185929648241207,3.133525378773672e-05,0.0374070351843776
N I (NIST),atomic,3.7437185929648242,3.740962284408652e-05,0.012281407043674086
N I (NIST),atomic,3.7688442211055277,4.381202495378975e-05,0.012844221097029429
N I (NIST),atomic,3.7939698492462313,5.040352959884849e-05,0.037969849237732944
N I (NIST),atomic,3.819095477386935,5.703308909737453e-05,0.06309547737843646
N I (NIST),atomic,3.8442211055276383,6.344732445287099e-05,0.05577889446654094
N I (NIST),atomic,3.869346733668342,6.926008597561829e-05,0.030653266325837425
N I (NIST),atomic,3.8944723618090453,7.401188916247866e-05,0.00552763818513391
N I (NIST),atomic,3.919597989949749,7.730301264930736e-05,0.0004020100485049305
N I (NIST),atomic,3.9447236180904524,7.89419117916326e-05,0.024723618092198585
N I (NIST),atomic,3.969849246231156,7.903849666506517e-05,0.03015075376884413
N I (NIST),atomic,3.9949748743718594,7.799693915033433e-05,0.005025125628140614
N I (NIST),atomic,4.020100502512563,7.640948442055585e-05,0.020100502512563345
N I (NIST),atomic,4.045226130653266,7.489486088435198e-05,0.045226130653266416
N I (NIST),atomic,4.07035175879397,7.394254880395103e-05,0.02964824121185039
N I (NIST),atomic,4.0954773869346734,7.381419759989319e-05,0.004522613071147319
N I (NIST),atomic,4.120603015075377,7.452641183044065e-05,0.02060301506955664
N I (NIST),atomic,4.1457286432160805,7.590892661455502e-05,0.045271356790089534
N I (NIST),atomic,4.170854271356784,7.770822590205815e-05,0.020145728649385575
N I (NIST),atomic,4.1959798994974875,7.96930539520646e-05,0.0049798994913174965
N I (NIST),atomic,4.2211055276381915,8.171787216036806e-05,0.01889447236704722
N I (NIST),atomic,4.2462311557788945,8.371628185099569e-05,0.00623115577365585
N I (NIST),atomic,4.2713567839195985,8.562813615120531e-05,0.03135678391435981
N I (NIST),atomic,4.296482412060302,8.730124872047638e-05,0.043517587950757886
N I (NIST),atomic,4.3216080402010055,8.843180715356616e-05,0.018391959810053926
N I (NIST),atomic,4.346733668341709,8.859846505684891e-05,0.006733668330649145
N I (NIST),atomic,4.371859296482413,8.740090773432237e-05,0.028140703511766674
N I (NIST),atomic,4.396984924623116,8.465427512056794e-05,0.0030150753710636025
N I (NIST),atomic,4.42211055276382,8.054974310628583e-05,0.00911055276335393
N I (NIST),atomic,4.447236180904523,7.56954141163667e-05,0.034236180904057
N I (NIST),atomic,4.472361809045227,7.100158317057858e-05,0.05936180904476096
N I (NIST),atomic,4.49748743718593,6.744385647798094e-05,0.07851256281500163
N I (NIST),atomic,4.522613065326634,6.578895414241071e-05,0.05338693467429767
N I (NIST),atomic,4.547738693467337,6.637684713634927e-05,0.0282613065335946
N I (NIST),atomic,4.572864321608041,6.90217488855867e-05,0.0031356783928906395
N I (NIST),atomic,4.597989949748744,7.304740859320691e-05,0.02198994974781243
N I (NIST),atomic,4.623115577889448,7.743503035215565e-05,0.046884422108806056
N I (NIST),atomic,4.648241206030151,8.104543253195643e-05,0.021758793968102985
N I (NIST),atomic,4.673366834170855,8.287357002324921e-05,0.0033668341726009743
N I (NIST),atomic,4.698492462311558,8.229060154567638e-05,0.0015075376855318012
N I (NIST),atomic,4.723618090452262,7.92223308565603e-05,0.023618090455172158
N I (NIST),atomic,4.748743718592965,7.421153411471753e-05,0.0012562814070351536
N I (NIST),atomic,4.773869346733669,6.832766197025265e-05,0.023869346733668806
N I (NIST),atomic,4.798994974874372,6.292463524867438e-05,0.04899497487437188
N I (NIST),atomic,4.824120603015076,5.92963419022046e-05,0.07412060301507584
N I (NIST),atomic,4.849246231155779,5.832139350516727e-05,0.09924623115577891
N I (NIST),atomic,4.874371859296483,6.020547200467637e-05,0.07662814070444846
N I (NIST),atomic,4.899497487437186,6.441090002899296e-05,0.051502512563745384
N I (NIST),atomic,4.92462311557789,6.981004078534371e-05,0.026376884423041425
N I (NIST),atomic,4.949748743718593,7.502517222824793e-05,0.0012512562823383533
N I (NIST),atomic,4.974874371859297,7.884701445066018e-05,0.023874371858365606
N I (NIST),atomic,5.0,8.058683714412781e-05,0.0
NV (Doherty+),defect,0.0,0.0,16.131099999998696
NV (Doherty+),defect,0.02512562814070352,0.0,16.105974371857993
NV (Doherty+),defect,0.05025125628140704,0.0,16.08084874371729
NV (Doherty+),defect,0.07537688442211056,0.0,16.055723115576587
NV (Doherty+),defect,0.10050251256281408,0.0,16.03059748743588
NV (Doherty+),defect,0.1256281407035176,0.0,16.005471859295177
NV (Doherty+),defect,0.15075376884422112,0.0,15.980346231154474
NV (Doherty+),defect,0.17587939698492464,0.0,15.955220603013771
NV (Doherty+),defect,0.20100502512562815,0.0,15.930094974873068
NV (Doherty+),defect,0.22613065326633167,0.0,15.904969346732365
NV (Doherty+),defect,0.2512562814070352,0.0,15.87984371859166
