System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
NV (Doherty+),defect,0.0011052951411260222,0.0,0.0,0.0,1.3526184270578226e-07,0.0
NV (Doherty+),defect,0.0016496480740980208,0.0,0.0,0.0,1.5668584574206828e-07,0.0
NV (Doherty+),defect,0.0024620924014946257,0.0,0.0,0.0,2.5881805662950173e-07,0.0
NV (Doherty+),defect,0.003674661940736688,0.0,0.0,0.0,3.4366570536431495e-07,0.0
NV (Doherty+),defect,0.005484416576121015,0.0,0.0,0.0,5.911265569774862e-07,0.0
NV (Doherty+),defect,0.008185467307069028,0.0,0.0,0.0,9.074956288680509e-07,0.0
NV (Doherty+),defect,0.012216773489967919,0.0,0.0,0.0,1.1635817486906103e-06,0.0
NV (Doherty+),defect,0.018233480008684404,0.0,0.0,0.0,2.01437321443978e-06,0.0
NV (Doherty+),defect,0.027213387683753087,0.0,0.0,0.0,3.084158044482935e-06,0.0
NV (Doherty+),defect,0.0406158598837698,0.0,0.0,0.0,4.526264615016756e-06,0.0
NV (Doherty+),defect,0.06061898993497572,0.0,0.0,0.0,6.696772533190224e-06,0.0
NV (Doherty+),defect,0.09047357242349294,0.0,0.0,0.0,8.118961003477644e-06,0.0
NV (Doherty+),defect,0.13503140378698722,0.0,0.0,0.0,1.1413595650187805e-05,0.0
NV (Doherty+),defect,0.20153376859417332,0.0,0.0,0.0,1.5021558872684024e-05,0.0
NV (Doherty+),defect,0.3007882518043099,0.0,0.0,0.0,2.117266009906858e-05,0.0
NV (Doherty+),defect,0.4489251258218603,1.505946327085745e-280,0.0,0.0,2.9192733321364168e-05,1.505946327153065e-280
NV (Doherty+),defect,0.670018750350959,7.165804745715283e-128,0.0,0.0,4.1859574387874476e-05,7.165804745877554e-128
NV (Doherty+),defect,1.0,2.488919672243451e-59,0.0,0.0,5.851385583108998e-05,2.488919672264225e-59
SiV (Doherty+),defect,0.0001,0.0,0.0,0.0,2.2295758337616238e-08,0.0
SiV (Doherty+),defect,0.0001492495545051829,0.0,0.0,0.0,2.7471091321453058e-08,0.0
SiV (Doherty+),defect,0.00022275429519995563,0.0,0.0,0.0,1.3586335696542811e-08,0.0
SiV (Doherty+),defect,0.00033245979322709415,0.0,0.0,0.0,1.0054054229548562e-07,0.0
SiV (Doherty+),defect,0.0004961947603002903,0.0,0.0,0.0,7.773452308902703e-08,0.0
SiV (Doherty+),defect,0.0007405684692262435,0.0,0.0,0.0,1.9916398920490678e-07,0.0
SiV (Doherty+),defect,0.0011052951411260222,0.0,0.0,0.0,2.693732224339167e-07,0.0
SiV (Doherty+),defect,0.0016496480740980208,0.0,0.0,0.0,3.858863096177764e-07,0.0
SiV (Doherty+),defect,0.0024620924014946257,0.0,0.0,0.0,4.0238104586153083e-07,0.0
SiV (Doherty+),defect,0.003674661940736688,0.0,0.0,0.0,6.634090702719194e-07,0.0
SiV (Doherty+),defect,0.005484416576121015,0.0,0.0,0.0,7.781470578997752e-07,0.0
SiV (Doherty+),defect,0.008185467307069028,0.0,0.0,0.0,1.378166788243305e-06,0.0
SiV (Doherty+),defect,0.012216773489967919,0.0,0.0,0.0,1.9856027655477807e-06,0.0
SiV (Doherty+),defect,0.018233480008684404,0.0,0.0,0.0,3.4276025168201204e-06,0.0
SiV (Doherty+),defect,0.027213387683753087,0.0,0.0,0.0,4.779357410921022e-06,0.0
SiV (Doherty+),defect,0.0406158598837698,0.0,0.0,0.0,6.961822678616961e-06,0.0
SiV (Doherty+),defect,0.06061898993497572,0.0,0.0,0.0,1.049669555323897e-05,0.0
SiV (Doherty+),defect,0.09047357242349294,0.0,0.0,0.0,1.350177685514306e-05,0.0
SiV (Doherty+),defect,0.13503140378698722,0.0,0.0,0.0,1.8307567814012168e-05,0.0
SiV (Doherty+),defect,0.20153376859417332,0.0,0.0,0.0,2.4252171420579795e-05,0.0
SiV (Doherty+),defect,0.3007882518043099,7.494117587432324e-156,0.0,0.0,3.3055383769023844e-05,7.494117587122136e-156
SiV (Doherty+),defect,0.4489251258218603,7.699120264009712e-72,0.0,0.0,4.6217293105625825e-05,7.699120263851431e-72
SiV (Doherty+),defect,0.670018750350959,3.994056248250772e-34,0.0,0.0,6.632270316315787e-05,3.994056248205313e-34
SiV (Doherty+),defect,1.0,3.408893055638551e-17,0.0,0.0,9.576268658155922e-05,3.408893055617979e-17
GeV (Doherty+),defect,0.0001,0.0,0.0,0.0,3.336600602085431e-08,0.0
GeV (Doherty+),defect,0.0001492495545051829,0.0,0.0,0.0,1.9440551580298068e-08,0.0
GeV (Doherty+),defect,0.00022275429519995563,0.0,0.0,0.0,1.4268701785710886e-08,0.0
GeV (Doherty+),defect,0.00033245979322709415,0.0,0.0,0.0,8.663939883226865e-08,0.0
GeV (Doherty+),defect,0.0004961947603002903,0.0,0.0,0.0,8.513256568922581e-08,0.0
GeV (Doherty+),defect,0.0007405684692262435,0.0,0.0,0.0,1.3160493089546786e-07,0.0
GeV (Doherty+),defect,0.0011052951411260222,0.0,0.0,0.0,2.0033156347636437e-07,0.0
GeV (Doherty+),defect,0.0016496480740980208,0.0,0.0,0.0,2.7870331656934393e-07,0.0
GeV (Doherty+),defect,0.0024620924014946257,0.0,0.0,0.0,5.002387316673612e-07,0.0
GeV (Doherty+),defect,0.003674661940736688,0.0,0.0,0.0,5.961589448813172e-07,0.0
GeV (Doherty+),defect,0.005484416576121015,0.0,0.0,0.0,9.229077882141488e-07,0.0
GeV (Doherty+),defect,0.008185467307069028,0.0,0.0,0.0,1.4210111841490542e-06,0.0
GeV (Doherty+),defect,0.012216773489967919,0.0,0.0,0.0,2.4383174488592995e-06,0.0
GeV (Doherty+),defect,0.018233480008684404,0.0,0.0,0.0,3.153632509957898e-06,0.0
GeV (Doherty+),defect,0.027213387683753087,0.0,0.0,0.0,4.841549387938909e-06,0.0
GeV (Doherty+),defect,0.0406158598837698,0.0,0.0,0.0,6.959712600960437e-06,0.0
GeV (Doherty+),defect,0.06061898993497572,0.0,0.0,0.0,1.0272092736373096e-05,0.0
GeV (Doherty+),defect,0.09047357242349294,0.0,0.0,0.0,1.3426147819628088e-05,0.0
GeV (Doherty+),defect,0.13503140378698722,0.0,0.0,0.0,1.793590201737267e-05,0.0
GeV (Doherty+),defect,0.20153376859417332,0.0,0.0,0.0,2.496190910810223e-05,0.0
GeV (Doherty+),defect,0.3007882518043099,1.4314521573570225e-155,0.0,0.0,3.3212846168480336e-05,1.4314521572896513e-155
GeV (Doherty+),defect,0.4489251258218603,1.4706097393174106e-71,0.0,0.0,4.6842520434158744e-05,1.4706097392782053e-71
GeV (Doherty+),defect,0.670018750350959,7.62905087418405e-34,0.0,0.0,6.55388286740045e-05,7.6290508741223085e-34
GeV (Doherty+),defect,1.0,6.511330068901515e-17,0.0,0.0,9.450366611837484e-05,6.511330068879542e-17
