System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
NV (Doherty+),defect,0.004291934260128779,0.0,0.0,0.0,4.928744614020762e-07,0.0
NV (Doherty+),defect,0.005179474679231213,0.0,0.0,0.0,4.905051214272626e-07,0.0
NV (Doherty+),defect,0.0062505519252739694,0.0,0.0,0.0,7.179335183113115e-07,0.0
NV (Doherty+),defect,0.007543120063354615,0.0,0.0,0.0,9.123952547955592e-07,0.0
NV (Doherty+),defect,0.009102981779915217,0.0,0.0,0.0,1.0014091714825229e-06,0.0
NV (Doherty+),defect,0.010985411419875584,0.0,0.0,0.0,1.1758533244331834e-06,0.0
NV (Doherty+),defect,0.013257113655901081,0.0,0.0,0.0,1.6087844154463108e-06,0.0
NV (Doherty+),defect,0.015998587196060572,0.0,0.0,0.0,1.8139599997458686e-06,0.0
NV (Doherty+),defect,0.019306977288832496,0.0,0.0,0.0,2.0690667857397388e-06,0.0
NV (Doherty+),defect,0.023299518105153717,0.0,0.0,0.0,2.5512878192885596e-06,0.0
NV (Doherty+),defect,0.02811768697974228,0.0,0.0,0.0,3.0900589266362625e-06,0.0
NV (Doherty+),defect,0.033932217718953266,0.0,0.0,0.0,3.701498912505939e-06,0.0
NV (Doherty+),defect,0.040949150623804234,0.0,0.0,0.0,4.568658528621089e-06,0.0
NV (Doherty+),defect,0.04941713361323833,0.0,0.0,0.0,5.289077679213502e-06,0.0
NV (Doherty+),defect,0.05963623316594643,0.0,0.0,0.0,6.512731422465246e-06,0.0
NV (Doherty+),defect,0.07196856730011514,0.0,0.0,0.0,7.5699208455765155e-06,0.0
NV (Doherty+),defect,0.08685113737513521,0.0,0.0,0.0,8.486618561236963e-06,0.0
NV (Doherty+),defect,0.10481131341546852,0.0,0.0,0.0,9.462594808354104e-06,0.0
NV (Doherty+),defect,0.12648552168552957,0.0,0.0,0.0,1.075510541805671e-05,0.0
NV (Doherty+),defect,0.15264179671752318,0.0,0.0,0.0,1.257384957321607e-05,0.0
NV (Doherty+),defect,0.18420699693267145,0.0,0.0,0.0,1.3745447967841674e-05,0.0
NV (Doherty+),defect,0.22229964825261933,0.0,0.0,0.0,1.6581159325754676e-05,0.0
NV (Doherty+),defect,0.2682695795279725,0.0,0.0,0.0,1.9741626125759526e-05,0.0
NV (Doherty+),defect,0.32374575428176433,0.0,0.0,0.0,2.1424671413555914e-05,0.0
NV (Doherty+),defect,0.3906939937054613,0.0,0.0,0.0,2.6076460769738227e-05,0.0
NV (Doherty+),defect,0.47148663634573895,1.144195083891801e-254,0.0,0.0,3.018188193332753e-05,1.1441950839287384e-254
NV (Doherty+),defect,0.5689866029018293,5.806606544327626e-176,0.0,0.0,3.5764439349104866e-05,5.806606544396087e-176
NV (Doherty+),defect,0.6866488450042998,6.410763152698385e-122,0.0,0.0,4.145043503601547e-05,6.410763152832883e-122
NV (Doherty+),defect,0.8286427728546842,8.231226733470253e-85,0.0,0.0,5.10841163617233e-05,8.231226733562984e-85
NV (Doherty+),defect,1.0,2.488919672243451e-59,0.0,0.0,5.945785511085738e-05,2.4889196722658402e-59
SiV (Doherty+),defect,0.0001,0.0,0.0,0.0,1.2414078441487917e-08,0.0
SiV (Doherty+),defect,0.00012067926406393288,0.0,0.0,0.0,5.008804198528954e-08,0.0
SiV (Doherty+),defect,0.00014563484775012445,0.0,0.0,0.0,1.0054325122736966e-08,0.0
SiV (Doherty+),defect,0.00017575106248547912,0.0,0.0,0.0,4.9968778857648796e-08,0.0
SiV (Doherty+),defect,0.00021209508879201905,0.0,0.0,0.0,2.8021145290411503e-08,0.0
SiV (Doherty+),defect,0.0002559547922699536,0.0,0.0,0.0,4.4797269472322264e-08,0.0
SiV (Doherty+),defect,0.00030888435964774815,0.0,0.0,0.0,6.019671001755202e-08,0.0
SiV (Doherty+),defect,0.0003727593720314938,0.0,0.0,0.0,4.432644555414226e-08,0.0
SiV (Doherty+),defect,0.0004498432668969444,0.0,0.0,0.0,1.0469160444010225e-07,0.0
SiV (Doherty+),defect,0.0005428675439323859,0.0,0.0,0.0,8.135147375607371e-08,0.0
SiV (Doherty+),defect,0.0006551285568595509,0.0,0.0,0.0,1.2908964333055967e-07,0.0
SiV (Doherty+),defect,0.0007906043210907702,0.0,0.0,0.0,1.4575853247618133e-07,0.0
SiV (Doherty+),defect,0.0009540954763499944,0.0,0.0,0.0,9.830975742013045e-08,0.0
SiV (Doherty+),defect,0.0011513953993264468,0.0,0.0,0.0,1.5868512109584526e-07,0.0
SiV (Doherty+),defect,0.0013894954943731374,0.0,0.0,0.0,2.62222058369483e-07,0.0
SiV (Doherty+),defect,0.0016768329368110067,0.0,0.0,0.0,2.88122799657151e-07,0.0
SiV (Doherty+),defect,0.0020235896477251557,0.0,0.0,0.0,4.2007959245410335e-07,0.0
SiV (Doherty+),defect,0.0024420530945486497,0.0,0.0,0.0,3.462322425655105e-07,0.0
SiV (Doherty+),defect,0.0029470517025518097,0.0,0.0,0.0,5.655939842514195e-07,0.0
SiV (Doherty+),defect,0.0035564803062231283,0.0,0.0,0.0,6.604552785909835e-07,0.0
SiV (Doherty+),defect,0.004291934260128779,0.0,0.0,0.0,9.164257955283124e-07,0.0
